,Unnamed: 0,zip,work_outside_home,Commute,beh_read,beh_type,beh_handheld,beh_handfree,beh_app,acc_handheld,acc_handfree,acc_read,acc_type,acc_app,threat_talk,threat_type,threat_aggressive,threat_spdfwy,threat_spdres,threat_lights,threat_asleep,threat_alcohol,threat_cannabis,threat_app,legal_addgps,legal_gps1819,legal_handheld,legal_handheldstop,legal_handheldspkr,legal_911,legal_camera,legal_music1819,legal_readstop,legal_typestop,legal_handfree,legal_app1819,legal_video,will30_handheld,will30_type,will30_app,willever_tixtalk,willever_tixtext,willever_crashtalk,willever_crashtext,stop_family,stop_friends,stop_pass,stop_bt,stop_tix124,stop_tix240,stop_ins,stop_work,stop_app,stop_block,stop_crash,stop_kill,stop_none,Gender,Age,agegrp1,Race,Education,Income,drive30days,Urbanicity,weight,Language,legal_gps2122,legal_music2122,legal_app2122,year,month,day
2,2,98042,1,1.0,5,5,2,2,5,4,2,4,4,4,3,1,1,1,1,1,1,1,1,1,2,1.0,1,1,2,1,3,3.0,2,2,1,2.0,2,4,4,4,4,4,4,4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,63,3,3,1,4,1,2.0,1.459665935,,,,,2018,6,17
5,5,98006,2,,5,5,5,3,5,3,1,3,3,3,2,1,1,3,2,2,1,1,1,2,2,1.0,2,2,2,2,2,2.0,2,2,1,2.0,2,4,4,4,4,4,4,4,2,2,2,1,2,2,2,2,2,2,1,1,2,2,73,4,3,3,5,2,2.0,2.33654296,,,,,2018,6,17
11,11,98038,2,,5,5,5,5,5,3,3,3,3,3,1,1,1,1,2,1,1,1,1,1,1,1.0,2,2,2,3,3,2.0,3,3,3,2.0,2,4,4,4,2,2,1,1,1,1,1,1,1,1,1,1,1,2,1,1,2,1,78,4,4,3,1,1,2.0,6.422862646,,,,,2018,6,17
18,18,98003,2,,5,5,5,5,5,4,4,4,4,4,1,1,1,1,1,1,1,1,1,1,2,2.0,1,2,2,3,2,3.0,2,2,1,2.0,2,4,4,4,4,4,4,4,1,1,1,2,2,1,1,2,2,1,1,1,2,2,62,3,3,2,2,1,2.0,0.591164704,,,,,2018,6,17
26,26,98168,2,,5,5,5,5,5,4,2,4,4,4,3,1,1,1,1,1,1,1,1,1,2,3.0,2,2,2,2,2,2.0,2,2,3,2.0,2,4,4,4,4,4,4,4,2,2,2,1,2,2,2,2,2,2,2,2,2,2,73,4,3,3,2,1,2.0,0.788583249,,,,,2018,6,17
29,29,98034,2,,5,5,5,5,5,4,2,4,4,5,2,1,1,2,1,1,1,1,1,2,1,1.0,2,3,2,1,3,3.0,3,3,1,3.0,2,4,4,4,4,4,4,4,1,1,2,1,1,1,1,1,1,1,1,1,2,2,67,4,3,3,3,1,2.0,0.778847653,,,,,2018,6,17
33,33,98058,1,1.0,5,5,5,3,5,4,1,4,4,4,3,1,1,1,1,1,1,1,1,1,3,1.0,2,2,3,3,2,3.0,2,2,1,3.0,2,4,4,4,4,4,4,4,2,2,2,2,2,2,2,2,2,2,2,2,1,2,58,3,3,1,2,1,3.0,0.591164704,,,,,2018,6,17
37,37,98125,1,1.0,5,5,5,5,5,4,2,4,4,3,2,1,2,3,2,2,1,3,3,2,2,1.0,2,3,3,3,3,1.0,1,1,1,2.0,2,4,4,4,4,4,4,4,2,2,2,2,1,1,1,2,2,2,1,1,2,1,70,4,3,3,3,1,2.0,0.61528162,,,,,2018,6,17
42,42,98122,2,,5,5,5,5,5,4,4,4,4,4,1,1,1,2,1,1,1,1,1,1,2,2.0,2,2,2,3,2,2.0,2,2,2,2.0,2,4,4,4,4,4,4,4,2,2,1,2,1,1,1,2,2,1,1,1,2,1,61,3,3,3,1,2,1.0,0.599948481,,,,,2018,6,17
50,50,98166,2,,5,5,5,5,5,4,4,4,4,4,1,1,1,2,1,1,1,1,1,1,2,3.0,2,1,2,1,1,2.0,1,1,3,2.0,2,4,4,4,4,4,4,4,1,1,1,2,1,1,1,2,1,1,1,1,2,1,74,4,3,3,1,1,2.0,0.6075906,,,,,2018,6,17
51,51,98045,2,,3,5,5,2,3,4,2,4,4,3,2,1,2,3,2,1,1,1,2,2,2,1.0,2,2,2,3,2,3.0,2,2,1,2.0,2,4,4,3,4,4,4,3,2,2,2,1,2,2,1,1,1,1,1,1,2,1,75,4,3,2,2,1,3.0,0.767491992,,,,,2018,6,17
54,54,98115,2,,5,5,5,2,5,3,2,4,4,4,1,1,1,1,1,1,1,1,1,1,2,1.0,2,2,2,3,2,2.0,2,2,1,3.0,2,4,4,4,4,4,4,4,2,2,2,1,2,2,2,2,2,2,2,2,2,2,74,4,3,1,1,1,2.0,0.769112058,,,,,2018,6,17
57,57,98011,1,1.0,1,5,5,5,5,4,3,4,4,4,1,1,1,2,1,1,1,1,1,1,2,1.0,2,2,2,1,2,2.0,2,2,1,2.0,2,4,4,4,4,4,4,4,1,1,1,1,1,1,1,1,2,2,1,1,2,2,59,3,3,1,1,1,2.0,0.576568044,,,,,2018,6,17
58,58,98031,2,,5,5,5,5,5,4,4,4,4,4,1,1,2,2,1,1,1,1,1,1,3,3.0,2,3,2,3,2,3.0,2,2,3,3.0,3,4,4,4,4,4,4,4,2,2,2,2,2,2,2,2,2,2,2,2,2,1,62,3,4,2,1,1,2.0,1.183395563,,,,,2018,6,17
59,59,98003,2,,5,5,5,5,5,4,2,4,4,3,2,1,2,3,2,2,2,1,1,2,2,1.0,2,3,2,1,3,3.0,3,3,1,2.0,2,4,4,4,4,4,4,4,1,1,1,1,1,1,1,2,1,1,1,1,2,2,57,3,3,3,5,1,2.0,1.751599122,,,,,2018,6,17
64,64,98010,2,,5,5,5,5,5,4,3,4,4,4,2,1,1,1,1,1,1,1,1,1,2,2.0,2,2,2,3,2,2.0,2,2,2,2.0,2,4,4,4,4,4,4,4,2,2,2,2,1,1,1,2,2,2,1,1,2,2,72,4,3,2,1,1,2.0,0.769112058,,,,,2018,6,17
66,66,98052,1,1.0,5,5,3,5,5,3,2,3,4,4,2,1,2,3,1,1,1,2,1,2,3,1.0,1,2,3,1,3,3.0,2,2,1,3.0,2,4,4,4,4,4,4,4,2,2,2,1,2,2,2,2,2,2,2,2,2,1,57,3,3,3,3,1,1.0,0.607542766,,,,,2018,6,17
74,74,98198,2,,5,5,5,5,5,2,2,4,4,4,4,1,1,1,1,1,1,1,1,1,2,1.0,1,1,2,1,1,1.0,2,2,1,2.0,2,4,4,4,4,4,4,4,1,1,1,1,1,1,1,1,1,1,1,1,2,2,57,3,3,2,1,1,2.0,0.576568044,,,,,2018,6,17
75,75,98002,1,1.0,5,5,5,1,3,1,1,3,3,2,3,3,2,2,2,2,1,1,1,3,2,1.0,2,2,2,1,2,2.0,2,2,1,2.0,2,4,4,2,4,4,4,4,1,1,1,2,2,2,2,2,2,2,2,2,2,1,57,3,3,2,3,1,1.0,0.607542766,,,,,2018,6,17
79,79,98126,1,1.0,5,5,5,5,5,4,3,4,4,4,1,1,1,2,1,1,1,1,1,2,2,1.0,2,2,2,1,2,2.0,2,2,1,2.0,2,4,4,4,3,4,4,4,1,1,1,2,2,1,2,2,2,2,2,2,2,2,70,4,3,2,2,1,2.0,0.788583249,,,,,2018,6,17
