,Unnamed: 0,zip,work_outside_home,Commute,beh_read,beh_type,beh_handheld,beh_handfree,beh_app,acc_handheld,acc_handfree,acc_read,acc_type,acc_app,threat_talk,threat_type,threat_aggressive,threat_spdfwy,threat_spdres,threat_lights,threat_asleep,threat_alcohol,threat_cannabis,threat_app,legal_addgps,legal_gps1819,legal_handheld,legal_handheldstop,legal_handheldspkr,legal_911,legal_camera,legal_music1819,legal_readstop,legal_typestop,legal_handfree,legal_app1819,legal_video,will30_handheld,will30_type,will30_app,willever_tixtalk,willever_tixtext,willever_crashtalk,willever_crashtext,stop_family,stop_friends,stop_pass,stop_bt,stop_tix124,stop_tix240,stop_ins,stop_work,stop_app,stop_block,stop_crash,stop_kill,stop_none,Gender,Age,agegrp1,Race,Education,Income,drive30days,Urbanicity,weight,Language,legal_gps2122,legal_music2122,legal_app2122,year,month,day
9,9,98008,1,1.0,1,3,3,2,2,2,1,3,4,2,3,1,2,4,1,1,1,1,1,3,2,2.0,2,2,2,1,3,3.0,2,2,1,2.0,2,2,4,3,4,4,4,4,1,1,2,2,2,2,2,2,2,2,2,1,2,2,20,1,3,2,3,1,2.0,0.98247831,,,,,2018,6,17
14,14,98029,1,1.0,3,5,2,2,3,3,4,4,4,4,2,2,2,2,1,1,1,1,1,2,2,1.0,2,2,2,3,2,2.0,2,2,3,2.0,2,5,4,4,4,4,4,4,2,2,2,2,1,1,1,2,2,2,1,1,2,1,30,1,4,3,2,1,2.0,0.763773363,,,,,2018,6,17
15,15,98148,2,,5,5,5,5,5,3,2,3,3,3,2,2,2,3,2,2,2,2,2,2,3,1.0,2,2,2,1,3,3.0,3,3,1,3.0,2,4,4,4,4,4,4,4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,29,1,3,3,1,2,2.0,0.514611982,,,,,2018,6,17
19,19,98144,2,,5,5,5,5,5,3,1,4,4,3,3,1,2,3,2,1,1,1,1,2,2,1.0,2,3,2,3,3,3.0,2,2,1,3.0,3,4,4,2,4,4,4,4,1,1,1,1,1,1,1,2,1,1,1,1,2,2,29,1,3,3,1,2,1.0,0.514611982,,,,,2018,6,17
25,25,98003,1,1.0,6,3,5,5,5,4,3,3,4,4,2,2,1,3,2,1,1,2,2,5,3,1.0,3,1,1,1,3,1.0,1,1,3,3.0,2,4,3,3,4,4,4,4,1,2,1,2,1,2,2,1,1,1,2,1,2,2,19,1,2,2,4,2,2.0,0.742724986,,,,,2018,6,17
30,30,98134,2,,4,2,5,2,5,4,1,3,4,3,2,1,1,1,1,1,1,1,1,1,1,1.0,2,2,2,1,2,1.0,2,2,1,1.0,2,4,4,1,3,4,4,4,2,2,2,2,2,1,2,2,1,2,1,2,2,2,29,1,1,1,2,1,2.0,0.838384123,,,,,2018,6,17
41,41,98104,1,1.0,5,5,5,5,5,4,4,4,4,4,2,2,2,3,2,3,2,1,1,2,2,1.0,3,2,2,1,2,2.0,2,2,2,2.0,2,4,4,4,4,4,4,4,2,2,2,2,2,2,2,2,2,2,2,2,1,1,21,1,8,4,1,1,1.0,0.555738544,,,,,2018,6,17
44,44,98010,1,1.0,5,5,5,5,5,3,2,3,4,4,2,1,1,3,3,1,1,1,2,1,2,1.0,2,2,2,1,2,1.0,2,2,1,2.0,2,4,4,4,4,4,4,4,2,2,1,1,1,1,1,2,2,1,1,1,2,1,26,1,7,1,2,1,1.0,0.763773363,,,,,2018,6,17
45,45,98118,1,3.0,5,5,5,5,5,4,3,4,4,4,1,1,1,2,1,1,1,1,1,1,2,3.0,2,2,2,3,2,2.0,2,2,3,2.0,2,4,4,4,3,3,4,4,1,1,1,2,1,1,2,2,2,2,1,1,2,2,21,1,3,1,2,2,2.0,0.994759289,,,,,2018,6,17
49,49,98045,1,1.0,4,6,4,3,5,4,2,4,4,4,4,2,1,1,1,1,1,1,1,2,3,1.0,3,1,3,1,3,1.0,1,3,1,2.0,2,4,5,4,3,4,4,4,1,1,1,1,1,1,1,1,1,1,1,1,2,2,23,1,2,2,1,2,1.0,0.293376369,,,,,2018,6,17
52,52,98033,2,,3,3,3,5,5,3,2,3,4,4,2,2,1,3,2,1,2,1,2,1,2,1.0,2,2,2,1,3,1.0,1,3,1,2.0,2,2,2,4,2,2,3,3,2,2,1,2,1,2,1,2,2,2,1,1,2,1,25,1,3,2,3,1,2.0,0.533364477,,,,,2018,6,17
